Recency,Frequency,Monetary,Interpurchase_Time
682,1,7.5,0
50,2,581.1599999999999,50
16,8,3191.6699999999996,88
8,1,251.23999999999998,0
311,2,482.76,4
5,3,1971.6100000000001,45
303,1,237.05,0
8,9,4190.970000000001,47
409,1,228.74,0
261,1,396.15000000000003,0
289,1,145.92000000000002,0
86,1,300.16,0
23,15,10469.359999999999,42
645,1,53.2,0
2,32,3468.16,7
682,1,7.5,0
40,2,512.05,40
9,2,877.52,21
227,5,695.5200000000001,47
316,1,192.54999999999998,0
457,2,576.42,34
36,8,2021.5,61
35,8,1566.98,87
21,4,3868.9400000000005,105
78,1,396.62,0
247,2,999.77,164
40,1,184.76,0
239,4,1708.04,84
3,27,11988.26,27
4,9,2000.6000000000001,30
234,2,1691.1499999999996,58
17,4,1875.5200000000002,176
8,1,111.5,0
39,4,697.23,139
29,8,3270.4100000000003,82
211,2,4649.37,0
317,3,1137.65,30
92,5,1561.6399999999999,85
109,3,397.0999999999999,36
38,15,4621.43,40
505,1,260.13000000000005,0
51,2,423.9,95
19,4,3127.3,62
10,11,4067.89,58
29,13,2016.5500000000002,42
29,21,4479.58,33
190,6,556.01,35
59,1,144.22,0
22,1,255.0,0
79,2,243.68,91
376,4,1169.5,20
682,1,7.5,0
60,1,1560.31,0
405,1,258.23,0
78,9,3106.4300000000003,71
23,5,1727.14,20
52,1,1048.96,0
74,1,679.53,0
57,10,6234.49,66
278,1,300.65,0
2,8,5129.32,78
95,3,1027.9,97
29,1,348.08,0
22,1,143.91,0
16,10,1783.47,54
15,3,1257.9399999999998,63
2,35,18109.73,19
232,1,153.84999999999997,0
276,7,3438.05,60
106,2,590.28,35
212,4,4516.21,96
23,9,5920.1,33
11,7,4166.31,18
4,3,736.7099999999999,20
386,2,1025.42,18
10,2,1040.08,17
57,6,3281.669999999999,105
521,2,726.52,22
59,7,5001.879999999999,66
536,2,367.5,6
90,4,2696.5600000000004,91
739,1,7.5,0
67,12,7909.549999999999,39
33,2,692.89,303
239,3,1093.82,129
24,3,969.5300000000001,19
115,1,151.4,0
25,3,889.4499999999999,27
128,12,2288.1800000000003,40
130,4,1862.18,141
34,8,3288.2,79
5,2,1139.87,22
22,36,12323.119999999999,18
155,4,1030.6,136
107,8,2006.2000000000003,73
3,1,272.44,0
335,4,377.75,32
331,2,925.03,51
149,3,3515.9,126
11,5,551.8299999999999,56
424,1,241.70000000000002,0
17,8,5170.84,68
11,4,1122.5600000000002,16
19,1,640.4000000000001,0
30,1,63.63,0
11,1,228.75,0
436,1,162.00000000000003,0
1,20,6285.91,30
625,2,158.4,21
8,11,3003.69,65
325,3,282.1,114
394,1,1182.62,0
58,1,485.23,0
12,10,10162.990000000002,66
151,3,1490.5900000000001,35
10,7,3343.18,93
606,1,2002.021,0
330,2,416.0,132
5,3,1148.6399999999999,132
39,4,1660.5200000000002,42
554,2,823.95,12
25,11,2300.81,41
555,2,369.6,55
42,21,13679.49,31
59,4,860.72,56
1,4,815.0,28
15,45,26625.53,15
4,52,20113.1,14
4,21,9963.529999999999,34
8,7,1951.26,29
28,6,2665.41,10
372,1,78.64,0
481,2,1825.64,0
114,1,3909.65,0
26,2,1155.21,50
206,1,332.61,0
28,7,964.4,56
637,1,110.5,0
127,7,1486.6200000000001,56
70,3,1541.6,116
7,7,1318.6599999999999,94
435,2,753.51,37
29,3,769.29,46
590,1,285.95,0
418,1,569.76,0
8,4,4509.43,51
80,6,2286.33,92
20,1,208.5,0
71,4,937.0,153
7,8,1609.95,20
15,14,11083.660000000002,37
292,1,552.52,0
30,18,4605.4400000000005,38
15,34,22203.7,21
97,3,1054.8700000000001,34
612,2,1219.3499999999997,32
29,21,6019.96,33
1,1,790.3500000000001,0
9,12,12877.25,60
106,1,278.35999999999996,0
4,2,990.6700000000001,64
151,3,1061.96,146
71,1,212.35000000000002,0
5,2,581.0500000000001,29
3,30,6973.780000000001,16
32,8,3645.0699999999997,55
85,4,914.95,16
4,5,658.3600000000001,12
5,7,2115.13,75
371,4,1751.59,53
28,11,3148.59,54
11,10,5045.6,64
71,5,932.3699999999998,62
114,1,420.71000000000004,0
522,1,733.4000000000001,0
24,17,17344.39,36
180,1,219.51000000000005,0
234,4,2231.0699999999997,113
353,3,496.65000000000003,13
315,2,652.5699999999999,10
333,1,142.44,0
499,2,15.0,0
372,1,140.4,0
78,4,1859.47,78
64,1,412.74999999999994,0
529,2,243.57,1
626,1,1091.9,0
134,2,508.92999999999995,0
52,11,10505.91,49
487,3,622.3499999999999,65
541,1,253.65,0
2,26,7880.9800000000005,28
1,336,41232.78,2
4,9,6031.5,57
129,1,259.98,0
445,1,268.27,0
81,1,2715.2899999999995,0
23,6,11347.779999999999,56
236,3,311.64,24
281,11,1234.9600000000005,37
87,1,73.83,0
16,13,3980.76,15
117,7,8753.65,88
52,8,4680.37,85
456,1,332.8,0
458,2,679.9499999999999,3
8,2,1458.3500000000001,8
138,2,398.38,115
317,1,1432.8800000000003,0
472,6,1253.1299999999997,28
4,9,8037.900000000001,44
376,1,891.05,0
451,1,160.71,0
239,1,1079.4,0
211,2,1765.1099999999997,122
486,1,229.50000000000003,0
60,1,750.3200000000002,0
564,1,75.95,0
536,1,91.2,0
17,7,1539.38,56
668,1,35.0,0
458,1,441.72,0
20,9,1534.1299999999999,64
38,14,6013.389999999999,49
599,1,302.46,0
64,2,719.76,110
5,11,4002.5800000000004,46
2,6,1349.13,12
9,3,1541.0500000000002,173
364,3,883.2,122
610,1,646.0000000000001,0
10,4,822.9399999999998,100
463,4,414.9,16
65,3,193.5,209
192,2,515.25,109
374,6,530.08,41
257,2,726.5099999999999,139
335,3,759.78,22
53,2,844.26,22
19,1,302.13000000000005,0
628,1,330.9,0
366,2,480.42999999999995,29
10,4,420.13999999999993,102
529,1,209.89999999999998,0
470,3,522.75,68
501,1,814.73,0
187,7,2165.2700000000004,53
393,1,996.96,0
466,2,317.57,17
382,4,1273.75,73
435,4,1568.61,38
383,1,244.10000000000002,0
37,5,751.75,85
178,3,1386.44,156
535,2,508.74,71
261,5,921.65,33
45,1,229.64,0
502,3,1287.3500000000001,63
102,1,55.83,0
148,2,853.11,25
96,2,423.4,40
281,3,593.48,51
262,1,527.94,0
458,1,446.0400000000001,0
3,11,2581.5200000000004,66
214,2,218.79999999999998,198
71,2,880.0800000000002,8
75,18,3323.7,33
60,1,391.42,0
521,2,417.78,60
3,12,2706.76,59
6,3,430.15,12
3,6,999.46,21
337,3,189.50999999999996,71
38,6,1114.5600000000002,22
262,3,405.09000000000003,66
32,2,381.53000000000003,32
145,1,389.53,0
283,1,306.08,0
428,41,5867.18,7
59,15,5734.37,45
173,2,578.9100000000001,198
34,10,2674.48,55
3,26,9396.49,28
144,7,3886.2299999999996,75
5,40,6537.150000000001,12
70,4,1430.69,166
66,30,4668.03,22
29,4,633.0200000000002,141
267,4,165.64,5
682,1,7.5,0
22,2,1412.3400000000001,182
676,1,199.3,0
31,6,2687.55,93
446,1,89.1,0
97,2,253.10999999999996,190
295,1,294.15,0
135,11,3454.05,48
79,7,2770.4000000000005,92
373,4,422.09,7
8,6,2102.98,9
211,6,3261.5,78
383,1,132.57,0
459,1,560.55,0
693,1,47.97,0
620,1,62.099999999999994,0
426,2,924.7400000000001,34
52,6,2072.0299999999997,89
138,2,90.25999999999999,184
26,4,3151.73,112
283,3,1119.02,73
26,13,7662.710000000001,53
186,8,2023.0100000000002,25
682,1,314.41999999999996,0
375,3,1428.51,82
84,3,467.67,118
327,12,3182.46,34
282,3,1706.2599999999998,133
385,2,861.98,84
143,5,81.27,110
58,4,3308.2699999999995,133
4,20,2910.6800000000003,34
236,2,854.0899999999999,14
45,3,374.0199999999999,15
382,2,622.28,96
276,1,106.5,0
9,2,1334.2499999999998,12
25,4,655.37,16
88,1,152.25,0
63,3,1112.2199999999998,20
68,2,1307.97,75
384,1,209.69999999999996,0
214,2,307.92,20
381,4,366.06000000000006,30
24,2,686.4599999999998,181
186,11,113.94000000000003,43
397,1,260.03,0
31,1,176.54999999999998,0
575,1,133.95,0
42,2,357.55,22
205,4,453.9,84
464,2,168.19,97
414,1,307.35,0
422,1,320.58000000000004,0
9,28,3007.6200000000003,9
265,1,117.78,0
429,1,826.08,0
18,2,440.9599999999999,77
577,2,922.3100000000001,52
12,5,1952.85,13
396,2,463.71000000000004,49
176,5,79.92,90
40,8,2354.5699999999997,76
23,13,5145.4400000000005,46
552,1,1484.9099999999999,0
3,5,1337.04,7
5,13,3611.6300000000006,56
401,1,120.47999999999999,0
149,4,889.1999999999999,110
139,7,3874.41,77
128,6,2540.25,100
626,1,7.5,0
8,6,1259.44,26
17,4,462.15000000000003,176
9,74,33022.47,9
161,1,398.36,0
64,3,702.2200000000001,170
88,12,1588.21,53
5,3,704.83,196
411,4,1492.22,78
395,1,187.86,0
35,12,4012.26,42
312,1,100.95,0
78,2,408.45,46
22,57,11136.58,12
539,8,1465.37,16
24,8,1540.37,88
737,1,99.03,0
2,15,4110.65,40
17,4,1014.5000000000002,15
15,9,2943.51,80
26,1,108.05,0
64,20,6001.019999999999,31
55,2,798.25,16
724,1,348.24000000000007,0
131,3,616.6999999999999,78
558,2,389.05,23
36,2,579.8100000000001,159
288,2,843.5600000000001,183
437,1,316.3,0
144,6,1414.82,38
16,9,2239.5799999999995,80
31,22,15005.119999999999,32
2,3,764.2600000000002,7
9,15,3169.5699999999997,45
6,4,1294.78,18
10,2,763.71,256
639,1,151.95,0
1,11,4183.4800000000005,24
306,4,504.9,104
10,13,8385.07,55
400,2,434.24000000000007,91
484,1,116.99999999999999,0
414,4,1198.7800000000002,61
379,1,205.9,0
7,2,255.89000000000001,53
8,12,3149.96,42
437,1,129.99,0
89,1,738.11,0
10,1,155.18,0
358,3,2185.02,8
112,1,133.5,0
603,1,117.2,0
7,10,1371.92,72
4,116,11676.3,6
414,4,1058.9399999999998,61
414,1,100.05,0
198,2,390.79999999999995,183
437,6,1953.0,49
212,8,2720.72,56
156,4,365.28,88
385,5,2461.58,68
729,1,411.84000000000003,0
158,21,5333.729999999999,27
30,2,372.2199999999999,51
243,8,2652.96,45
598,1,423.42,0
19,1,97.5,0
1,2,1123.58,13
429,10,2349.84,25
74,5,1170.41,123
292,1,458.6700000000001,0
3,33,5745.7300000000005,22
31,7,920.3999999999999,84
23,3,693.1699999999998,122
725,1,93.35000000000001,0
23,8,1236.1900000000003,79
4,3,932.5199999999999,88
85,1,158.49,0
376,1,310.65000000000003,0
22,8,1981.6,73
493,3,777.05,53
196,3,383.87999999999994,16
107,4,962.11,154
4,33,19411.17,22
318,3,409.68000000000006,38
106,3,122.80000000000001,36
12,36,11392.01,19
174,4,907.83,70
56,1,64.02,0
580,1,153.60000000000002,0
323,3,584.0799999999999,133
673,1,210.6,0
374,2,299.37,137
372,1,50.550000000000004,0
9,11,2873.0,52
1,29,10490.439999999999,24
11,11,4708.0599999999995,38
53,11,5616.63,49
73,3,746.84,16
7,1,114.75,0
16,35,9267.759999999998,18
379,6,1215.8500000000001,58
563,2,614.96,48
4,17,4594.38,42
430,1,57.8,0
64,3,1216.0299999999997,154
471,2,518.52,55
732,1,259.58,0
1,9,1279.9600000000003,80
114,19,924.4799999999997,30
23,2,631.8000000000001,11
31,5,805.0,98
11,2,672.34,178
407,5,3170.3199999999997,29
52,9,2567.4599999999996,45
357,2,220.54999999999998,36
55,3,746.47,115
74,3,1117.1100000000001,119
685,1,210.0,0
138,12,3780.0200000000004,49
80,3,906.46,70
584,4,934.0300000000001,34
9,2,676.99,12
451,4,781.5800000000002,34
598,3,1428.1399999999999,44
273,1,332.33000000000004,0
291,11,4372.67,37
99,3,802.6700000000001,129
31,3,847.75,141
32,24,7668.4800000000005,28
14,9,3958.89,74
64,4,1045.14,84
15,35,11310.71,20
579,2,110.55,20
212,7,2991.3199999999997,63
622,1,123.65,0
78,4,2255.59,87
551,1,182.66999999999996,0
530,3,571.13,33
25,3,268.95,42
250,10,2107.2500000000005,36
254,1,303.93,0
72,1,245.31,0
191,1,243.87,0
481,1,188.39999999999998,0
13,6,1468.0800000000002,96
373,5,1020.5500000000001,34
24,2,432.75,3
82,3,493.11,121
10,2,92.88,154
1,38,7212.9400000000005,14
192,4,745.8499999999999,134
612,1,108.22,0
267,1,177.14999999999998,0
411,2,383.93,13
511,4,744.84,53
130,1,798.24,0
458,1,135.4,0
1,11,2669.9,66
3,57,24159.57,12
4,6,419.18,68
179,4,275.83000000000004,107
12,28,48947.83,25
126,21,3214.12,28
4,3,344.28000000000003,140
492,1,45.9,0
158,8,2337.48,72
383,1,434.53,0
726,1,285.54,0
417,1,216.76,0
3,203,91425.89000000001,3
9,24,9576.72,20
28,3,902.9999999999998,233
71,12,2003.43,49
276,55,38869.369999999995,8
21,13,966.69,28
71,1,68.31,0
394,1,45.0,0
33,28,12049.01,25
1,28,19237.480000000003,11
99,1,19.439999999999998,0
234,4,638.7399999999999,111
1,37,10487.779999999999,15
40,3,697.64,179
3,9,1309.2,72
436,1,19.439999999999998,0
133,2,315.02,140
44,9,4264.120000000001,69
373,2,647.78,31
60,3,1115.9099999999999,163
31,12,2743.2200000000003,58
719,1,317.47,0
541,1,20.6,0
1,37,13450.98,16
731,1,216.43,0
12,10,5298.89,58
138,1,448.79,0
22,18,2181.11,33
20,9,2295.08,46
669,1,134.9,0
239,1,30.599999999999998,0
269,1,279.19999999999993,0
94,2,894.66,73
473,2,494.49999999999994,28
90,4,4251.4,73
524,1,133.68,0
5,13,3630.67,49
78,1,259.16999999999996,0
631,1,202.5,0
452,2,194.97,38
94,1,64.0,0
23,7,3103.12,92
262,1,75.3,0
274,3,182.6,61
86,6,2274.0700000000006,55
197,2,272.94,147
56,13,6152.15,51
11,16,7445.24,30
22,7,1266.9600000000003,53
16,8,7197.53,52
108,5,958.7199999999999,76
85,17,7381.75,37
19,1,272.43999999999994,0
585,1,401.1,0
333,2,109.1,49
40,7,633.5699999999999,80
26,1,228.91,0
10,4,504.9,22
29,26,7902.200000000001,27
14,4,1535.43,68
484,3,248.24,48
296,3,2197.4100000000003,110
417,7,2051.13,39
6,1,332.43000000000006,0
399,3,1521.3399999999997,112
33,6,1338.38,76
385,3,1511.56,96
49,9,5222.95,65
95,5,1506.29,58
9,4,1392.46,26
22,1,90.89999999999999,0
313,2,446.92999999999995,93
122,16,7783.16,38
610,1,17.65,0
569,2,264.1,49
46,3,877.7299999999999,122
283,2,806.85,65
19,5,989.9499999999999,74
36,5,1775.98,101
64,3,689.26,166
27,1,107.1,0
22,3,366.51,92
400,1,39.15,0
4,11,2237.6800000000003,65
16,12,7565.3099999999995,59
582,2,738.1500000000001,76
46,1,418.99999999999994,0
65,2,512.2000000000002,182
26,21,13731.35,33
619,1,572.31,0
607,1,85.2,0
381,1,359.69,0
45,1,121.18,0
8,15,4516.16,41
15,10,1587.8400000000001,27
268,1,71.4,0
40,3,1555.73,29
337,4,326.86,71
11,1,107.10000000000001,0
19,2,224.25,48
544,3,369.42,62
658,1,163.69000000000003,0
95,6,2483.1,98
61,1,102.63,0
136,2,372.46,142
414,1,134.28,0
11,7,2935.7400000000002,86
610,1,308.11,0
10,8,4775.339999999999,53
4,67,8955.720000000001,10
19,4,782.5900000000001,26
502,4,1179.1299999999997,35
394,7,1454.75,48
10,10,2559.95,71
731,1,911.96,0
443,1,202.5,0
400,13,7613.0,25
15,4,535.8600000000001,149
59,9,1890.25,75
30,13,7393.779999999999,50
94,1,327.02000000000004,0
10,10,1938.8300000000002,72
20,3,707.48,13
57,11,3380.65,46
418,7,3174.2799999999997,32
402,1,22.95,0
268,1,149.28,0
122,4,245.34,133
127,1,62.43,0
618,1,76.23,0
78,5,1226.3899999999999,99
240,2,773.21,59
577,1,79.65,0
200,6,417.33,77
60,2,1993.8899999999996,45
3,16,8351.03,44
273,2,304.75999999999993,60
202,1,257.7,0
81,1,96.66,0
226,1,153.15,0
4,30,5534.8,20
13,7,1208.47,32
74,4,1073.97,154
673,2,335.34999999999997,29
212,1,987.2700000000001,0
25,2,693.31,41
388,1,634.1000000000001,0
17,6,912.8399999999998,95
262,5,1474.67,48
96,8,1452.6,69
412,1,111.53,0
112,7,699.3999999999999,79
203,5,1153.38,85
93,1,117.29,0
51,2,916.87,190
18,11,2625.77,46
18,4,489.57,16
125,2,452.24,32
92,9,673.98,65
461,2,253.09,20
402,1,252.68,0
394,2,333.25000000000006,115
157,4,2122.26,136
376,1,51.410000000000004,0
9,3,499.21000000000004,167
436,1,111.95000000000002,0
12,5,947.8299999999999,77
62,9,1317.59,70
61,1,400.32,0
269,2,868.5,8
263,3,534.3,112
1,39,8383.07,10
443,1,702.06,0
53,5,1618.95,44
11,19,5003.49,37
3,36,9065.34,20
18,11,3006.08,22
1,28,7787.16,26
366,1,79.65,0
37,1,211.48999999999992,0
31,2,250.66000000000003,29
113,1,136.37,0
409,1,333.8500000000001,0
384,2,231.40999999999997,124
64,5,1791.0100000000002,115
16,7,500.8,74
41,4,1330.75,142
78,1,137.75,0
122,7,2094.19,74
439,1,350.22,0
18,4,1237.9899999999998,97
60,4,367.06,145
331,1,186.23999999999998,0
23,6,3289.09,100
600,1,660.8599999999999,0
603,3,766.39,33
443,5,457.26,44
724,1,280.35,0
438,1,7.5,0
156,11,3095.95,46
39,5,911.73,97
392,6,1145.69,46
190,3,1612.98,152
360,4,1089.22,54
137,6,768.18,73
8,7,3439.8599999999997,76
1,1,191.25,0
268,3,1108.5000000000002,86
169,3,1193.21,134
104,4,598.1899999999999,47
155,2,90.0,185
400,1,59.269999999999996,0
351,4,1140.3500000000001,79
4,16,3271.89,39
430,1,53.65,0
120,3,255.18999999999997,157
23,4,1548.5100000000002,143
7,6,1690.6,64
28,5,1513.1000000000004,74
4,2,528.8199999999999,72
451,1,124.75,0
22,12,3388.4800000000005,59
2,3,749.19,24
689,1,307.65000000000003,0
37,10,5684.15,60
66,19,6056.521000000001,34
1,3,580.4200000000001,12
5,58,20027.309999999998,12
78,6,2211.6,66
72,2,326.80999999999995,7
17,1,199.48,0
3,5,698.5999999999999,16
36,18,5681.86,29
82,1,609.0,0
432,1,271.26,0
39,20,8695.52,34
316,1,739.23,0
32,8,3220.6499999999996,87
93,6,2634.1600000000008,93
402,1,176.7,0
14,1,345.9,0
411,3,960.51,82
82,5,6067.299999999999,114
77,1,783.1300000000001,0
546,1,1433.32,0
158,4,2072.12,136
201,1,799.42,0
45,12,11938.119999999999,50
261,1,723.55,0
178,1,305.93,0
68,3,2006.79,69
288,1,337.20000000000005,0
463,6,250.65,22
70,1,263.21999999999997,0
64,1,233.76,0
11,1,204.82,0
16,2,802.77,31
66,1,331.44,0
60,1,353.68,0
71,1,731.5000000000001,0
122,1,643.95,0
80,1,698.59,0
257,5,3593.59,73
269,1,382.74000000000007,0
64,2,942.76,169
432,4,1422.5800000000002,67
472,2,1416.75,72
9,7,5255.17,59
18,3,1613.01,130
71,1,134.96,0
34,2,2078.87,92
50,1,10.530000000000001,0
432,1,423.6,0
257,4,1006.11,41
366,1,254.63000000000002,0
372,1,717.5800000000002,0
505,2,2020.36,63
90,1,327.53999999999996,0
61,6,7043.400000000001,112
415,2,372.3,17
89,2,1423.51,178
99,3,879.3100000000001,45
397,2,1361.0499999999997,124
26,3,566.36,36
433,1,62.4,0
32,12,7674.77,58
281,5,1378.33,90
544,1,28.62,0
31,11,5724.860000000001,42
330,1,478.07000000000005,0
414,2,726.8599999999999,11
417,1,184.04000000000002,0
131,3,1077.8999999999999,157
11,3,768.16,73
75,1,462.18,0
204,1,30.0,0
677,1,91.14,0
584,4,1095.2899999999997,37
2,19,6316.82,38
185,3,1015.17,78
29,2,1272.15,145
73,10,2703.2500000000005,61
192,2,647.5000000000001,128
464,3,264.9,18
583,1,308.13,0
127,4,1206.76,109
18,3,207.75,235
1,2,252.49,105
74,6,1022.991,108
427,2,400.38000000000005,102
579,3,2059.2200000000003,27
2,106,33264.102,6
24,9,1578.04,78
107,1,211.10000000000002,0
620,1,446.65,0
640,6,247.42,7
134,6,1264.23,78
473,4,705.27,63
44,3,924.8000000000001,230
5,6,1587.3400000000001,110
12,31,10106.27,23
64,1,221.06,0
150,2,140.1,10
40,8,3813.24,77
64,1,2526.15,0
429,1,214.57999999999998,0
450,1,570.77,0
108,5,3074.6099999999997,94
1,22,7587.419999999999,33
19,6,940.49,117
10,3,475.14,168
11,4,926.52,16
19,2,641.66,33
67,8,2815.69,74
571,2,431.74999999999994,20
501,4,600.42,48
74,5,1183.6800000000003,116
5,9,3643.3800000000006,54
2,1,166.04,0
14,7,3092.0600000000004,25
547,1,46.5,0
255,3,930.31,90
423,7,1271.8500000000001,4
92,2,652.5500000000001,169
667,3,321.74000000000007,23
449,6,1075.3400000000001,38
374,2,614.45,65
626,1,210.92999999999998,0
430,11,3453.76,21
23,3,1109.1900000000003,4
17,13,7971.890000000001,55
24,1,291.88000000000005,0
27,13,3007.5200000000004,44
26,11,7006.12,54
259,3,45.0,71
166,3,744.8900000000001,78
641,1,219.87000000000003,0
25,6,2036.3400000000001,117
18,6,1516.72,31
689,2,148.22,24
7,16,11322.61,23
625,2,1119.0399999999997,28
29,2,183.44,10
39,6,2257.48,93
253,5,1147.45,94
58,6,2962.9900000000002,93
446,2,790.36,69
184,5,952.0799999999999,88
11,2,1025.01,12
2,72,11954.510000000002,10
653,1,77.5,0
99,2,165.0,7
1,4,2430.69,11
464,2,592.2399999999999,45
61,8,2218.89,82
236,3,607.4900000000002,86
191,4,1339.2800000000002,26
179,5,1672.52,93
38,11,2612.71,58
469,5,2060.71,41
201,4,811.99,69
417,2,604.23,131
46,11,3762.26,62
232,2,336.0900000000001,197
66,1,140.34,0
241,3,768.87,132
233,11,2784.5,45
78,3,1095.2199999999998,25
58,5,827.12,135
17,23,12992.9,28
105,4,234.03000000000003,47
654,1,115.8,0
52,27,4342.28,25
136,3,1239.24,26
275,2,200.04,5
312,1,307.44,0
8,10,4573.43,72
11,2,623.6300000000001,174
283,6,1156.3300000000002,64
730,1,268.07,0
18,5,888.45,50
23,4,1406.46,94
288,3,2739.32,94
17,5,712.8499999999999,106
71,6,1740.2400000000002,98
64,1,282.98,0
73,4,3600.2300000000005,39
316,5,1304.98,28
3,4,2364.4799999999996,35
244,2,271.0,199
9,8,906.4899999999999,62
1,11,4373.41,65
677,1,244.31,0
261,4,689.5400000000001,80
127,3,793.34,176
74,4,749.4499999999999,152
73,6,1239.87,95
21,4,1048.72,99
60,3,2070.88,40
86,1,603.27,0
78,2,329.41,182
59,11,4987.4,60
1,3,1045.6799999999998,2
30,1,125.80000000000001,0
33,6,3723.98,61
41,5,640.22,35
15,2,211.92,116
738,2,581.45,0
34,12,4410.040000000001,54
79,2,251.05999999999997,62
